Whole-member issues: conflicting private placement constraints CONST; SIMTWO_MODULE unresolved/mismatched fixup at 0x1dd; SIMTWO_MODULE unresolved/mismatched fixup at 0x1d8; SIMTWO_MODULE unresolved/mismatched fixup at 0x1bc; SIMTWO_MODULE unresolved/mismatched fixup at 0x1b2; SIMTWO_MODULE unresolved/mismatched fixup at 0x194; SIMTWO_MODULE unresolved/mismatched fixup at 0x185; SIMTWO_MODULE unresolved/mismatched fixup at 0x16d; SIMTWO_MODULE unresolved/mismatched fixup at 0x167; SIMTWO_MODULE unresolved/mismatched fixup at 0x15b; SIMTWO_MODULE unresolved/mismatched fixup at 0x155; SIMTWO_MODULE unresolved/mismatched fixup at 0x13f; SIMTWO_MODULE unresolved/mismatched fixup at 0x138; SIMTWO_MODULE unresolved/mismatched fixup at 0x12b; SIMTWO_MODULE unresolved/mismatched fixup at 0x121; SIMTWO_MODULE unresolved/mismatched fixup at 0x113; SIMTWO_MODULE unresolved/mismatched fixup at 0x10a; SIMTWO_MODULE unresolved/mismatched fixup at 0x105; SIMTWO_MODULE unresolved/mismatched fixup at 0x100; SIMTWO_MODULE unresolved/mismatched fixup at 0xf9; SIMTWO_MODULE unresolved/mismatched fixup at 0xf4; SIMTWO_MODULE unresolved/mismatched fixup at 0xef; SIMTWO_MODULE unresolved/mismatched fixup at 0xe1; SIMTWO_MODULE unresolved/mismatched fixup at 0xd3; SIMTWO_MODULE unresolved/mismatched fixup at 0xc8; SIMTWO_MODULE unresolved/mismatched fixup at 0xba; SIMTWO_MODULE uncovered NE relocations; SIMTWO_MODULE literal bytes differ; unplaced contribution CONST
  SIMTWO_MODULE+0x1dd: candidate {'kind': 'internal', 'segment': 8, 'offset': 36}; original loader [{'site': 3597, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 5, 'offset': 0}, 'additive': False}]
  SIMTWO_MODULE+0x1d8: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x1bc: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x1b2: candidate {'kind': 'internal', 'segment': 5, 'offset': 5550}; original loader []
  SIMTWO_MODULE+0x194: candidate {'kind': 'internal', 'segment': 8, 'offset': 25298}; original loader []
  SIMTWO_MODULE+0x185: candidate {'kind': 'internal', 'segment': 8, 'offset': 29394}; original loader []
  SIMTWO_MODULE+0x16d: candidate {'kind': 'internal', 'segment': 8, 'offset': 8}; original loader []
  SIMTWO_MODULE+0x167: candidate {'kind': 'internal', 'segment': 8, 'offset': 8}; original loader []
  SIMTWO_MODULE+0x15b: candidate {'kind': 'internal', 'segment': 8, 'offset': 0}; original loader []
  SIMTWO_MODULE+0x155: candidate {'kind': 'internal', 'segment': 8, 'offset': 0}; original loader [{'site': 3462, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 5, 'offset': 0}, 'additive': False}]
  SIMTWO_MODULE+0x13f: candidate {'kind': 'internal', 'segment': 5, 'offset': 5614}; original loader []
  SIMTWO_MODULE+0x138: candidate {'kind': 'internal', 'segment': 8, 'offset': 65571}; original loader []
  SIMTWO_MODULE+0x12b: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x121: candidate {'kind': 'internal', 'segment': 5, 'offset': 5582}; original loader []
  SIMTWO_MODULE+0x113: candidate {'kind': 'internal', 'segment': 5, 'offset': 4300}; original loader []
  SIMTWO_MODULE+0x10a: candidate {'kind': 'internal', 'segment': 8, 'offset': 33626}; original loader []
  SIMTWO_MODULE+0x105: candidate {'kind': 'internal', 'segment': 8, 'offset': 33628}; original loader []
  SIMTWO_MODULE+0x100: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0xf9: candidate {'kind': 'internal', 'segment': 8, 'offset': 33630}; original loader []
  SIMTWO_MODULE+0xf4: candidate {'kind': 'internal', 'segment': 8, 'offset': 33632}; original loader [{'site': 3364, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 8, 'offset': 0}, 'additive': False}]
  SIMTWO_MODULE+0xef: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0xe1: candidate {'kind': 'internal', 'segment': 8, 'offset': 29394}; original loader []
  SIMTWO_MODULE+0xd3: candidate {'kind': 'internal', 'segment': 8, 'offset': 0}; original loader []
  SIMTWO_MODULE+0xc8: candidate {'kind': 'internal', 'segment': 8, 'offset': 25298}; original loader []
  SIMTWO_MODULE+0xba: candidate {'kind': 'internal', 'segment': 8, 'offset': 0}; original loader []
Target | Candidate | Difference
0000 enter 0xe, 0 | 0000 enter 0xc, 0 | immediate_or_binding
0004 push di | 0004 push di | 
0005 push si | 0005 push si | 
0006 mov di, word ptr [bp + 6] | 0006 mov di, word ptr [bp + 6] | 
0009 mov si, word ptr [bp + 8] | 0009 mov si, word ptr [bp + 8] | 
000c mov ax, di | 000c mov ax, di | 
000e sar ax, 1 | 000e sar ax, 1 | 
0010 mov word ptr [bp - 0xe], ax | 0010 mov word ptr [bp - 0xa], ax | memory_operand,stack_local_layout
0013 mov ax, si | 0013 mov ax, si | 
0015 sar ax, 1 | 0015 sar ax, 1 | 
0017 mov word ptr [bp - 0xc], ax | 0017 mov word ptr [bp - 0xc], ax | 
001a mov ax, word ptr [bp + 0xc] | 001a mov ax, word ptr [bp + 0xc] | 
001d sar ax, 7 | 001d sar ax, 7 | 
0020 mov word ptr [bp - 8], ax | 0020 mov word ptr [bp - 8], ax | 
0023 or di, di | 0023 or di, di | 
0025 jne 0x52 | 0025 jne 0x52 | 
0027 or si, si | 0027 or si, si | 
0029 jne 0x3a | 0029 jne 0x3a | 
002b push 3 | 002b push 3 | 
002d lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 002d lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 
0032 add sp, 2 | 0032 add sp, 2 | 
0035 add ax, 3 | 0035 add ax, 3 | 
0038 jmp 0x98 | 0038 jmp 0x98 | 
003a cmp si, 0x3f | 003a cmp si, 0x3f | 
003d jne 0x44 | 003d jne 0x44 | 
003f push 3 | 003f push 3 | 
0041 jmp 0x46 | 0041 jmp 0x46 | 
0043 nop  | 0043 nop  | 
0044 push 5 | 0044 push 5 | 
0046 lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 0046 lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 
004b add sp, 2 | 004b add sp, 2 | 
004e inc ax | 004e inc ax | 
004f jmp 0x98 | 004f jmp 0x98 | 
0051 nop  | 0051 nop  | 
0052 or si, si | 0052 or si, si | 
0054 jne 0x6e | 0054 jne 0x6e | 
0056 cmp di, 0x7f | 0056 cmp di, 0x7f | 
0059 jne 0x6a | 0059 jne 0x6a | 
005b push 3 | 005b push 3 | 
005d lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 005d lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 
0062 add sp, 2 | 0062 add sp, 2 | 
0065 add ax, 5 | 0065 add ax, 5 | 
0068 jmp 0x98 | 0068 jmp 0x98 | 
006a push 5 | 006a push 5 | 
006c jmp 0x2d | 006c jmp 0x2d | 
006e cmp di, 0x7f | 006e cmp di, 0x7f | 
0071 jne 0x8c | 0071 jne 0x8c | 
0073 cmp si, 0x3f | 0073 cmp si, 0x3f | 
0076 jne 0x88 | 0076 jne 0x88 | 
0078 push 3 | 0078 push 3 | 
007a lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 007a lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5514}] | 
007f add sp, 2 | 007f add sp, 2 | 
0082 add ax, 7 | 0082 add ax, 7 | 
0085 jmp 0x98 | 0085 jmp 0x98 | 
0087 nop  | 0087 nop  | 
0088 push 5 | 0088 push 5 | 
008a jmp 0x5d | 008a jmp 0x5d | 
008c cmp si, 0x3f | 008c cmp si, 0x3f | 
008f jne 0x96 | 008f jne 0x96 | 
0091 push 5 | 0091 push 5 | 
0093 jmp 0x7a | 0093 jmp 0x7a | 
0095 nop  | 0095 nop  | 
0096 xor ax, ax | 0096 xor ax, ax | 
0098 mov word ptr [bp - 4], ax | 0098 mov word ptr [bp - 2], ax | memory_operand,stack_local_layout
009b or ax, ax | 009b or ax, ax | 
009d je 0xac | 009d je 0xac | 
009f mov al, byte ptr [bp - 4] | 009f mov al, byte ptr [bp - 2] | memory_operand,stack_local_layout
00a2 dec al | 00a2 dec al | 
00a4 and ax, 7 | 00a4 and ax, 7 | 
00a7 pop si | 00a7 pop si | 
00a8 pop di | 00a8 pop di | 
00a9 leave  | 00a9 leave  | 
00aa retf  | 00aa retf  | 
00ab nop  | 00ab nop  | 
00ac cmp word ptr [bp - 8], 0 | 00ac mov cx, word ptr [bp - 8] | instruction_shape
00b0 je 0xca | 00af or cx, cx | instruction_shape
 | 00b1 jne 0xcc | instruction_shape
00b2 mov bx, word ptr [bp - 0xc] | 00b3 mov bx, word ptr [bp - 0xa] | memory_operand,stack_local_layout
