Whole-member issues: conflicting private placement constraints CONST; SIMONE_MODULE unresolved/mismatched fixup at 0x1a4; SIMONE_MODULE unresolved/mismatched fixup at 0x19f; SIMONE_MODULE unresolved/mismatched fixup at 0x19b; SIMONE_MODULE unresolved/mismatched fixup at 0x197; SIMONE_MODULE unresolved/mismatched fixup at 0x18b; SIMONE_MODULE unresolved/mismatched fixup at 0x186; SIMONE_MODULE unresolved/mismatched fixup at 0x172; SIMONE_MODULE unresolved/mismatched fixup at 0x16d; SIMONE_MODULE unresolved/mismatched fixup at 0x15f; SIMONE_MODULE unresolved/mismatched fixup at 0x15a; SIMONE_MODULE unresolved/mismatched fixup at 0x153; SIMONE_MODULE unresolved/mismatched fixup at 0x14c; SIMONE_MODULE unresolved/mismatched fixup at 0x141; SIMONE_MODULE unresolved/mismatched fixup at 0x13c; SIMONE_MODULE unresolved/mismatched fixup at 0x135; SIMONE_MODULE unresolved/mismatched fixup at 0x130; SIMONE_MODULE unresolved/mismatched fixup at 0x12a; SIMONE_MODULE unresolved/mismatched fixup at 0x125; SIMONE_MODULE unresolved/mismatched fixup at 0x11f; SIMONE_MODULE unresolved/mismatched fixup at 0x119; SIMONE_MODULE unresolved/mismatched fixup at 0x112; SIMONE_MODULE unresolved/mismatched fixup at 0x10e; SIMONE_MODULE unresolved/mismatched fixup at 0xfd; SIMONE_MODULE unresolved/mismatched fixup at 0xee; SIMONE_MODULE unresolved/mismatched fixup at 0xe0; SIMONE_MODULE unresolved/mismatched fixup at 0xd5; SIMONE_MODULE unresolved/mismatched fixup at 0xd0; SIMONE_MODULE unresolved/mismatched fixup at 0xc7; SIMONE_MODULE unresolved/mismatched fixup at 0xc3; SIMONE_MODULE unresolved/mismatched fixup at 0xb8; SIMONE_MODULE unresolved/mismatched fixup at 0xa9; SIMONE_MODULE unresolved/mismatched fixup at 0xa1; SIMONE_MODULE unresolved/mismatched fixup at 0x94; SIMONE_MODULE unresolved/mismatched fixup at 0x8c; SIMONE_MODULE unresolved/mismatched fixup at 0x74; SIMONE_MODULE unresolved/mismatched fixup at 0x6f; SIMONE_MODULE unresolved/mismatched fixup at 0x67; SIMONE_MODULE unresolved/mismatched fixup at 0x63; SIMONE_MODULE unresolved/mismatched fixup at 0x4d; SIMONE_MODULE unresolved/mismatched fixup at 0x48; SIMONE_MODULE unresolved/mismatched fixup at 0x40; SIMONE_MODULE unresolved/mismatched fixup at 0x3c; SIMONE_MODULE unresolved/mismatched fixup at 0x31; SIMONE_MODULE unresolved/mismatched fixup at 0x1c; SIMONE_MODULE unresolved/mismatched fixup at 0x12; SIMONE_MODULE uncovered NE relocations; SIMONE_MODULE literal bytes differ; unplaced contribution CONST
  SIMONE_MODULE+0x1a4: candidate {'kind': 'internal', 'segment': 9, 'offset': 39666}; original loader []
  SIMONE_MODULE+0x19f: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x19b: candidate {'kind': 'internal', 'segment': 10, 'offset': 44170}; original loader []
  SIMONE_MODULE+0x197: candidate {'kind': 'internal', 'segment': 9, 'offset': 39916}; original loader []
  SIMONE_MODULE+0x18b: candidate {'kind': 'internal', 'segment': 9, 'offset': 39916}; original loader []
  SIMONE_MODULE+0x186: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x172: candidate {'kind': 'internal', 'segment': 9, 'offset': 40176}; original loader []
  SIMONE_MODULE+0x16d: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x15f: candidate {'kind': 'internal', 'segment': 8, 'offset': 35422}; original loader []
  SIMONE_MODULE+0x15a: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x153: candidate {'kind': 'internal', 'segment': 10, 'offset': 44170}; original loader []
  SIMONE_MODULE+0x14c: candidate {'kind': 'internal', 'segment': 10, 'offset': 44170}; original loader []
  SIMONE_MODULE+0x141: candidate {'kind': 'internal', 'segment': 9, 'offset': 39666}; original loader []
  SIMONE_MODULE+0x13c: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x135: candidate {'kind': 'internal', 'segment': 9, 'offset': 39916}; original loader []
  SIMONE_MODULE+0x130: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x12a: candidate {'kind': 'internal', 'segment': 9, 'offset': 40176}; original loader []
  SIMONE_MODULE+0x125: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x11f: candidate {'kind': 'internal', 'segment': 10, 'offset': 44170}; original loader []
  SIMONE_MODULE+0x119: candidate {'kind': 'internal', 'segment': 10, 'offset': 44166}; original loader []
  SIMONE_MODULE+0x112: candidate {'kind': 'internal', 'segment': 10, 'offset': 44166}; original loader []
  SIMONE_MODULE+0x10e: candidate {'kind': 'internal', 'segment': 10, 'offset': 44166}; original loader []
  SIMONE_MODULE+0xfd: candidate {'kind': 'internal', 'segment': 10, 'offset': 44162}; original loader []
  SIMONE_MODULE+0xee: candidate {'kind': 'internal', 'segment': 10, 'offset': 44170}; original loader []
  SIMONE_MODULE+0xe0: candidate {'kind': 'internal', 'segment': 1, 'offset': 37568}; original loader [{'site': 36285, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 1, 'offset': 0}, 'additive': False}]
  SIMONE_MODULE+0xd5: candidate {'kind': 'internal', 'segment': 9, 'offset': 29562}; original loader []
  SIMONE_MODULE+0xd0: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0xc7: candidate {'kind': 'internal', 'segment': 9, 'offset': 40606}; original loader []
  SIMONE_MODULE+0xc3: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0xb8: candidate {'kind': 'internal', 'segment': 2, 'offset': 39088}; original loader []
  SIMONE_MODULE+0xa9: candidate {'kind': 'internal', 'segment': 2, 'offset': 41352}; original loader []
  SIMONE_MODULE+0xa1: candidate {'kind': 'internal', 'segment': 1, 'offset': 38432}; original loader []
  SIMONE_MODULE+0x94: candidate {'kind': 'internal', 'segment': 2, 'offset': 41352}; original loader []
  SIMONE_MODULE+0x8c: candidate {'kind': 'internal', 'segment': 2, 'offset': 39088}; original loader []
  SIMONE_MODULE+0x74: candidate {'kind': 'internal', 'segment': 9, 'offset': 29562}; original loader []
  SIMONE_MODULE+0x6f: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x67: candidate {'kind': 'internal', 'segment': 9, 'offset': 40606}; original loader []
  SIMONE_MODULE+0x63: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x4d: candidate {'kind': 'internal', 'segment': 9, 'offset': 29562}; original loader []
  SIMONE_MODULE+0x48: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x40: candidate {'kind': 'internal', 'segment': 9, 'offset': 40606}; original loader []
  SIMONE_MODULE+0x3c: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMONE_MODULE+0x31: candidate {'kind': 'internal', 'segment': 1, 'offset': 33378}; original loader []
  SIMONE_MODULE+0x1c: candidate {'kind': 'internal', 'segment': 1, 'offset': 24780}; original loader []
  SIMONE_MODULE+0x12: candidate {'kind': 'internal', 'segment': 2, 'offset': 39088}; original loader []
Target | Candidate | Difference
0000 push bp | 0000 push bp | 
0001 mov bp, sp | 0001 mov bp, sp | 
0003 push di | 0003 push di | 
0004 push si | 0004 push si | 
0005 mov si, word ptr [bp + 6] | 0005 mov si, word ptr [bp + 6] | 
0008 mov ax, si |  | instruction_shape
000a or ax, ax | 0008 or si, si | register_allocation
000c je 0x1a | 000a jne 0x26 | instruction_shape
000e dec ax |  | instruction_shape
000f je 0x36 |  | instruction_shape
0011 dec ax |  | instruction_shape
0012 je 0x68 |  | instruction_shape
0014 dec ax |  | instruction_shape
0015 je 0x82 |  | instruction_shape
0017 jmp 0xe8 |  | instruction_shape
001a push 0x7e | 000c push 0x7e | 
001c push 0 | 000e push si | instruction_shape
001e push 0x2c | 000f push 0x2c | 
0020 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 0}] | 0011 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 39088}] | immediate_or_binding,immediate_or_binding
0025 add sp, 6 | 0016 add sp, 6 | 
0028 push 1 | 0019 push 1 | 
002a lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 0}] | 001b lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 24780}] | immediate_or_binding,immediate_or_binding
002f add sp, 2 | 0020 add sp, 2 | 
0032 jmp 0xe8 | 0023 jmp 0xe7 | branch_target
0035 nop  | 0026 cmp si, 1 | instruction_shape
 | 0029 jne 0x5a | instruction_shape
0036 push -1 | 002b push -1 | 
0038 push 0x2396 | 002d push 0x2396 | 
003b lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 0}] | 0030 lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 33378}] | immediate_or_binding,immediate_or_binding
0040 add sp, 4 | 0035 add sp, 4 | 
 | 0038 xor ax, ax | instruction_shape
0043 mov es, word ptr [0xc4ae] | 003a mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0047 sub ax, ax |  | instruction_shape
0049 mov word ptr es:[0x9ea0], ax |  | instruction_shape
004d mov word ptr es:[0x9e9e], ax | 003e mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 40606}] | memory_operand
0051 push ax | 0042 push ax | 
0052 push ax | 0043 push ax | 
0053 push 0x78 | 0044 push 0x78 | 
0055 mov es, word ptr [0xc4b0] | 0046 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0059 les bx, ptr es:[0x737a] | 004a les <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 29562}] | memory_operand
005e push word ptr es:[bx + 0x2e] | 004f push word ptr es:[bx + 0x2e] | 
0062 push word ptr es:[bx + 0x2c] | 0053 push word ptr es:[bx + 0x2c] | 
0066 jmp 0xe0 | 0057 jmp 0xdf | branch_target
0068 push 0 | 005a cmp si, 2 | instruction_shape
006a push 0 | 005d jne 0x80 | instruction_shape
 | 005f xor ax, ax | instruction_shape
 | 0061 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | instruction_shape
 | 0065 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 40606}] | instruction_shape
 | 0069 push ax | instruction_shape
 | 006a push ax | instruction_shape
006c push 0x78 | 006b push 0x78 | 
006e mov es, word ptr [0xc4b0] | 006d mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0072 les bx, ptr es:[0x737a] | 0071 les <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 29562}] | memory_operand
0077 push word ptr es:[bx + 0x32] | 0076 push word ptr es:[bx + 0x32] | 
007b push word ptr es:[bx + 0x30] | 007a push word ptr es:[bx + 0x30] | 
007f jmp 0xe0 | 007e jmp 0xdf | branch_target
0081 nop  | 0080 cmp si, 3 | instruction_shape
 | 0083 jne 0xe7 | instruction_shape
0082 push 0x7e | 0085 push 0x7e | 
0084 push 0 | 0087 push 0 | 
0086 push 0x2c | 0089 push 0x2c | 
0088 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 0}] | 008b lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 39088}] | immediate_or_binding,immediate_or_binding
008d add sp, 6 | 0090 add sp, 6 | 
0090 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 0}] | 0093 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 41352}] | immediate_or_binding,immediate_or_binding
0095 or ax, ax | 0098 or ax, ax | 
0097 jne 0xae | 009a jne 0xb1 | branch_target
0099 push 0 | 009c push 0 | 
009b push 5 | 009e push 5 | 
009d lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 0}] | 00a0 lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 38432}] | immediate_or_binding,immediate_or_binding
00a2 add sp, 4 | 00a5 add sp, 4 | 
00a5 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 0}] | 00a8 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 41352}] | immediate_or_binding,immediate_or_binding
00aa or ax, ax | 00ad or ax, ax | 
00ac je 0x99 | 00af je 0x9c | branch_target
00ae push 0x7e | 00b1 push 0x7e | 
00b0 push 0 | 00b3 push 0 | 
00b2 push 0xa | 00b5 push 0xa | 
00b4 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 0}] | 00b7 lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 39088}] | immediate_or_binding,immediate_or_binding
00b9 add sp, 6 | 00bc add sp, 6 | 
 | 00bf xor ax, ax | instruction_shape
00bc mov es, word ptr [0xc4ae] | 00c1 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
00c0 sub ax, ax |  | instruction_shape
00c2 mov word ptr es:[0x9ea0], ax |  | instruction_shape
00c6 mov word ptr es:[0x9e9e], ax | 00c5 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 40606}] | memory_operand
00ca push ax | 00c9 push ax | 
00cb push ax | 00ca push ax | 
00cc push 0xb4 | 00cb push 0xb4 | 
00cf mov es, word ptr [0xc4b0] | 00ce mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
00d3 les bx, ptr es:[0x737a] | 00d2 les <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 29562}] | memory_operand
00d8 push word ptr es:[bx + 0x36] | 00d7 push word ptr es:[bx + 0x36] | 
00dc push word ptr es:[bx + 0x34] | 00db push word ptr es:[bx + 0x34] | 
00e0 lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 0}] | 00df lcall <resolved fixup> [{'kind': 'internal', 'segment': 1, 'offset': 37568}] | immediate_or_binding,immediate_or_binding
00e5 add sp, 0xa | 00e4 add sp, 0xa | 
00e8 cmp si, 2 | 00e7 cmp si, 2 | 
00eb je 0x154 | 00ea je 0x14a | branch_target
00ed mov di, word ptr [0xac8a] | 00ec mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44170}] | memory_operand
00f1 lea ax, [di + 0x64] | 00f0 lea ax, [di + 0x64] | 
00f4 cmp ax, 0x64 | 00f3 cmp ax, 0x64 | 
00f7 jle 0x120 | 00f6 jle 0x11d | branch_target
00f9 dec si | 00f8 dec si | 
00fa je 0x120 | 00f9 je 0x11d | branch_target
