Whole-member issues: conflicting private placement constraints CONST; SIMANT1_MODULE unresolved/mismatched fixup at 0x5e; SIMANT1_MODULE unresolved/mismatched fixup at 0x57; SIMANT1_MODULE unresolved/mismatched fixup at 0x51; SIMANT1_MODULE unresolved/mismatched fixup at 0x4a; SIMANT1_MODULE unresolved/mismatched fixup at 0x44; SIMANT1_MODULE unresolved/mismatched fixup at 0x3f; SIMANT1_MODULE unresolved/mismatched fixup at 0x38; SIMANT1_MODULE unresolved/mismatched fixup at 0x34; SIMANT1_MODULE unresolved/mismatched fixup at 0x31; SIMANT1_MODULE unresolved/mismatched fixup at 0x29; SIMANT1_MODULE unresolved/mismatched fixup at 0x24; SIMANT1_MODULE unresolved/mismatched fixup at 0x17; SIMANT1_MODULE unresolved/mismatched fixup at 0xf; SIMANT1_MODULE uncovered NE relocations; SIMANT1_MODULE literal bytes differ; unplaced contribution CONST
  SIMANT1_MODULE+0x5e: candidate {'kind': 'internal', 'segment': 10, 'offset': 44168}; original loader []
  SIMANT1_MODULE+0x57: candidate {'kind': 'internal', 'segment': 10, 'offset': 44168}; original loader []
  SIMANT1_MODULE+0x51: candidate {'kind': 'internal', 'segment': 9, 'offset': 31886}; original loader []
  SIMANT1_MODULE+0x4a: candidate {'kind': 'internal', 'segment': 9, 'offset': 31886}; original loader []
  SIMANT1_MODULE+0x44: candidate {'kind': 'internal', 'segment': 9, 'offset': 31886}; original loader []
  SIMANT1_MODULE+0x3f: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMANT1_MODULE+0x38: candidate {'kind': 'internal', 'segment': 10, 'offset': 44164}; original loader []
  SIMANT1_MODULE+0x34: candidate {'kind': 'internal', 'segment': 10, 'offset': 44196}; original loader []
  SIMANT1_MODULE+0x31: candidate {'kind': 'internal', 'segment': 9, 'offset': 29406}; original loader []
  SIMANT1_MODULE+0x29: candidate {'kind': 'internal', 'segment': 9, 'offset': 29406}; original loader []
  SIMANT1_MODULE+0x24: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMANT1_MODULE+0x17: candidate {'kind': 'internal', 'segment': 5, 'offset': 5614}; original loader []
  SIMANT1_MODULE+0xf: candidate {'kind': 'internal', 'segment': 10, 'offset': 22760}; original loader []
Target | Candidate | Difference
0000 enter 2, 0 |  | instruction_shape
0004 push di | 0000 push bp | register_allocation
 | 0001 mov bp, sp | instruction_shape
0005 push si | 0003 push si | 
0006 mov di, word ptr [bp + 6] | 0004 mov si, word ptr [bp + 6] | register_allocation
0009 mov si, word ptr [bp + 8] |  | instruction_shape
000c mov bx, di |  | instruction_shape
000e shl bx, 6 | 0007 shl si, 6 | register_allocation
0011 add bx, si | 000a add si, word ptr [bp + 8] | instruction_shape
0013 add bx, 0x58e8 | 000d add <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 22760}] | immediate_or_binding
0017 mov word ptr [bp - 2], bx |  | instruction_shape
001a cmp byte ptr [bx], 0x10 | 0011 cmp byte ptr [si], 0x10 | register_allocation
001d jne 0x2c | 0014 jne 0x20 | branch_target
001f lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 0}] | 0016 lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5614}] | immediate_or_binding,immediate_or_binding
0024 mov bx, word ptr [bp - 2] |  | instruction_shape
0027 mov byte ptr [bx], al | 001b mov byte ptr [si], al | register_allocation
0029 jmp 0x2e | 001d jmp 0x22 | branch_target
002b nop  | 001f nop  | 
002c dec byte ptr [bx] | 0020 dec byte ptr [si] | register_allocation
002e mov es, word ptr [0xc394] | 0022 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0032 cmp word ptr es:[0x72de], 0 | 0026 cmp <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 29406}] | memory_operand,immediate_or_binding
0038 jle 0x3f | 002c jle 0x60 | branch_target
003a dec word ptr es:[0x72de] | 002e dec <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 29406}] | memory_operand
003f mov ax, word ptr [0xac84] | 0033 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44196}] | memory_operand
0042 add ax, word ptr [0xaca4] | 0036 add <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44164}] | memory_operand
0046 sar ax, 4 | 003a sar ax, 4 | 
0049 mov es, word ptr [0xc3a4] | 003d mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
004d add word ptr es:[0x7c8e], 5 | 0041 add <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 31886}] | memory_operand,immediate_or_binding
0053 cmp ax, word ptr es:[0x7c8e] | 0047 cmp <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 31886}] | memory_operand
0058 jge 0x6c | 004c jge 0x60 | branch_target
005a mov word ptr es:[0x7c8e], 0 | 004e mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 31886}] | memory_operand,immediate_or_binding
0061 cmp word ptr [0xac88], 0x64 | 0055 cmp <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44168}] | memory_operand,immediate_or_binding
0066 jge 0x6c | 005a jge 0x60 | branch_target
0068 inc word ptr [0xac88] | 005c inc <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44168}] | memory_operand
006c pop si | 0060 pop si | 
006d pop di |  | instruction_shape
006e leave  | 0061 leave  | 
006f retf  | 0062 retf  | 
