Whole-member issues: conflicting private placement constraints CONST; SIMTWO_MODULE unresolved/mismatched fixup at 0x96; SIMTWO_MODULE unresolved/mismatched fixup at 0x8b; SIMTWO_MODULE unresolved/mismatched fixup at 0x85; SIMTWO_MODULE unresolved/mismatched fixup at 0x7e; SIMTWO_MODULE unresolved/mismatched fixup at 0x79; SIMTWO_MODULE unresolved/mismatched fixup at 0x73; SIMTWO_MODULE unresolved/mismatched fixup at 0x6a; SIMTWO_MODULE unresolved/mismatched fixup at 0x64; SIMTWO_MODULE unresolved/mismatched fixup at 0x5f; SIMTWO_MODULE unresolved/mismatched fixup at 0x52; SIMTWO_MODULE unresolved/mismatched fixup at 0x49; SIMTWO_MODULE unresolved/mismatched fixup at 0x41; SIMTWO_MODULE unresolved/mismatched fixup at 0x38; SIMTWO_MODULE unresolved/mismatched fixup at 0x32; SIMTWO_MODULE unresolved/mismatched fixup at 0x29; SIMTWO_MODULE unresolved/mismatched fixup at 0x23; SIMTWO_MODULE unresolved/mismatched fixup at 0x1e; SIMTWO_MODULE unresolved/mismatched fixup at 0x17; SIMTWO_MODULE unresolved/mismatched fixup at 0x12; SIMTWO_MODULE unresolved/mismatched fixup at 0x8; SIMTWO_MODULE unresolved/mismatched fixup at 0x3; SIMTWO_MODULE uncovered NE relocations; SIMTWO_MODULE literal bytes differ; unplaced contribution CONST
  SIMTWO_MODULE+0x96: candidate {'kind': 'internal', 'segment': 1, 'offset': 30534}; original loader []
  SIMTWO_MODULE+0x8b: candidate {'kind': 'internal', 'segment': 5, 'offset': 5582}; original loader []
  SIMTWO_MODULE+0x85: candidate {'kind': 'internal', 'segment': 10, 'offset': 52864}; original loader []
  SIMTWO_MODULE+0x7e: candidate {'kind': 'internal', 'segment': 9, 'offset': 40936}; original loader []
  SIMTWO_MODULE+0x79: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x73: candidate {'kind': 'internal', 'segment': 5, 'offset': 21460}; original loader []
  SIMTWO_MODULE+0x6a: candidate {'kind': 'internal', 'segment': 5, 'offset': 5582}; original loader []
  SIMTWO_MODULE+0x64: candidate {'kind': 'internal', 'segment': 9, 'offset': 39890}; original loader []
  SIMTWO_MODULE+0x5f: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x52: candidate {'kind': 'internal', 'segment': 8, 'offset': 12130}; original loader []
  SIMTWO_MODULE+0x49: candidate {'kind': 'internal', 'segment': 10, 'offset': 26856}; original loader []
  SIMTWO_MODULE+0x41: candidate {'kind': 'internal', 'segment': 8, 'offset': 10126}; original loader []
  SIMTWO_MODULE+0x38: candidate {'kind': 'internal', 'segment': 8, 'offset': 9124}; original loader []
  SIMTWO_MODULE+0x32: candidate {'kind': 'internal', 'segment': 8, 'offset': 0}; original loader []
  SIMTWO_MODULE+0x29: candidate {'kind': 'internal', 'segment': 5, 'offset': 5582}; original loader []
  SIMTWO_MODULE+0x23: candidate {'kind': 'internal', 'segment': 8, 'offset': 12130}; original loader []
  SIMTWO_MODULE+0x1e: candidate {'kind': 'segment', 'name': 'CONST'}; original loader [{'site': 13561, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 8, 'offset': 0}, 'additive': False}]
  SIMTWO_MODULE+0x17: candidate {'kind': 'internal', 'segment': 9, 'offset': 33008}; original loader []
  SIMTWO_MODULE+0x12: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  SIMTWO_MODULE+0x8: candidate {'kind': 'internal', 'segment': 9, 'offset': 32948}; original loader []
  SIMTWO_MODULE+0x3: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
Target | Candidate | Difference
0000 push di |  | instruction_shape
0001 push si | 0000 push si | 
0002 mov es, word ptr [0xc53e] | 0001 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0006 cmp word ptr es:[0x80b4], 0 | 0005 cmp <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 32948}] | memory_operand,immediate_or_binding
000c jne 0x11 | 000b jne 0x10 | branch_target
000e jmp 0xa3 | 000d jmp 0x9d | 
0011 mov es, word ptr [0xc540] | 0010 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0015 mov si, word ptr es:[0x80f0] | 0014 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 33008}] | memory_operand
001a or si, si | 0019 jmp 0x56 | instruction_shape
001c jle 0x63 | 001b nop  | instruction_shape
001e mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 0}] | 001c mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | instruction_shape
0021 mov es, ax |  | instruction_shape
0023 dec si |  | instruction_shape
0024 cmp byte ptr es:[si + 0x2f62], 0 | 0020 cmp <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 12130}] | memory_operand,immediate_or_binding
002a je 0x5f | 0026 je 0x56 | branch_target
002c lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 0}] | 0028 lcall <resolved fixup> [{'kind': 'internal', 'segment': 5, 'offset': 5582}] | immediate_or_binding,immediate_or_binding
0031 or ax, ax | 002d or ax, ax | 
0033 jne 0x3c | 002f je 0x56 | instruction_shape
0035 mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 0}] |  | instruction_shape
0038 mov es, ax |  | instruction_shape
003a jmp 0x5f |  | instruction_shape
003c mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 0}] | 0031 mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 0}] | 
003f mov es, ax | 0034 mov ds, ax | register_allocation
0041 mov bl, byte ptr es:[si + 0x278e] | 0036 mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 9124}] | memory_operand
0046 sub bh, bh | 003a sub bh, bh | 
0048 mov di, word ptr es:[si + 0x23a4] |  | instruction_shape
004d and di, 0xff |  | instruction_shape
0051 shl di, 6 | 003c shl bx, 6 | register_allocation
0054 xor al, al | 003f mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 10126}] | instruction_shape
 | 0043 sub ah, ah | instruction_shape
 | 0045 add bx, ax | instruction_shape
 | 0047 add <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 26856}] | instruction_shape
0056 mov byte ptr [bx + di + 0x68e8], al | 004b mov byte ptr ss:[bx], ah | memory_operand
 | 004e mov al, ah | instruction_shape
005a mov byte ptr es:[si + 0x2f62], al | 0050 mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 12130}] | memory_operand
 | 0054 push ss | instruction_shape
 | 0055 pop ds | instruction_shape
 | 0056 mov ax, si | instruction_shape
 | 0058 dec si | instruction_shape
005f or si, si | 0059 or ax, ax | register_allocation
0061 jg 0x23 | 005b jg 0x1c | branch_target
0063 mov es, word ptr [0xc542] | 005d mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0067 cmp word ptr es:[0x9bd2], 0 | 0061 cmp <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 39890}] | memory_operand,immediate_or_binding
006d je 0x7d | 0067 je 0x77 | 
