Whole-member issues: conflicting private placement constraints CONST; ANTEDIT_MODULE unresolved/mismatched fixup at 0x9e; ANTEDIT_MODULE unresolved/mismatched fixup at 0x94; ANTEDIT_MODULE unresolved/mismatched fixup at 0x8e; ANTEDIT_MODULE unresolved/mismatched fixup at 0x82; ANTEDIT_MODULE unresolved/mismatched fixup at 0x7c; ANTEDIT_MODULE unresolved/mismatched fixup at 0x70; ANTEDIT_MODULE unresolved/mismatched fixup at 0x6a; ANTEDIT_MODULE unresolved/mismatched fixup at 0x5e; ANTEDIT_MODULE unresolved/mismatched fixup at 0x58; ANTEDIT_MODULE unresolved/mismatched fixup at 0x4c; ANTEDIT_MODULE unresolved/mismatched fixup at 0x33; ANTEDIT_MODULE unresolved/mismatched fixup at 0x2f; ANTEDIT_MODULE literal bytes differ; unplaced contribution CONST
  ANTEDIT_MODULE+0x9e: candidate {'kind': 'internal', 'segment': 8, 'offset': 21202}; original loader []
  ANTEDIT_MODULE+0x94: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  ANTEDIT_MODULE+0x8e: candidate {'kind': 'internal', 'segment': 8, 'offset': 31442}; original loader []
  ANTEDIT_MODULE+0x82: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  ANTEDIT_MODULE+0x7c: candidate {'kind': 'internal', 'segment': 8, 'offset': 29394}; original loader []
  ANTEDIT_MODULE+0x70: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  ANTEDIT_MODULE+0x6a: candidate {'kind': 'internal', 'segment': 8, 'offset': 27346}; original loader []
  ANTEDIT_MODULE+0x5e: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  ANTEDIT_MODULE+0x58: candidate {'kind': 'internal', 'segment': 8, 'offset': 25298}; original loader []
  ANTEDIT_MODULE+0x4c: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
  ANTEDIT_MODULE+0x33: candidate {'kind': 'internal', 'segment': 8, 'offset': 34309}; original loader []
  ANTEDIT_MODULE+0x2f: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
Target | Candidate | Difference
0000 enter 2, 0 | 0000 enter 2, 0 | 
0004 push di | 0004 push di | 
0005 push si | 0005 push si | 
0006 mov si, word ptr [bp + 6] | 0006 mov si, word ptr [bp + 6] | 
0009 or si, si | 0009 or si, si | 
000b jl 0x24 | 000b jl 0x24 | 
 | 000d mov di, word ptr [bp + 8] | instruction_shape
000d cmp si, 0x3f | 0010 cmp si, 0x3f | 
0010 jg 0x24 | 0013 jg 0x27 | branch_target
0012 cmp word ptr [bp + 8], 0 | 0015 or di, di | instruction_shape
0016 jl 0x24 | 0017 jl 0x27 | branch_target
0018 cmp word ptr [bp + 8], 0x1f | 0019 cmp di, 0x1f | instruction_shape
001c jg 0x24 | 001c jg 0x27 | branch_target
001e mov dx, 1 | 001e mov dx, 1 | 
0021 jmp 0x26 | 0021 jmp 0x29 | branch_target
0023 nop  | 0023 nop  | 
 | 0024 mov di, word ptr [bp + 8] | instruction_shape
0024 xor dx, dx | 0027 xor dx, dx | 
0026 or dx, dx | 0029 or dx, dx | 
0028 jne 0x32 | 002b je 0xac | instruction_shape
002a mov ax, 0xffff |  | instruction_shape
002d pop si |  | instruction_shape
002e pop di |  | instruction_shape
002f leave  |  | instruction_shape
0030 retf  |  | instruction_shape
0031 nop  |  | instruction_shape
0032 mov es, word ptr [0xc270] | 002d mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | memory_operand
0036 mov al, byte ptr es:[0x8605] | 0031 mov <resolved fixup> [{'kind': 'internal', 'segment': 8, 'offset': 34309}] | memory_operand
003a cwde  | 0035 cwde  | 
003b or ax, ax | 0036 or ax, ax | 
003d je 0x50 | 0038 je 0x4a | branch_target
003f dec ax | 003a dec ax | 
0040 je 0x66 | 003b je 0x5c | branch_target
0042 dec ax | 003d dec ax | 
0043 je 0x7c | 003e je 0x6e | branch_target
0045 dec ax | 0040 dec ax | 
0046 je 0x92 | 0041 je 0x80 | branch_target
0048 dec ax | 0043 dec ax | 
0049 je 0xa8 | 0044 je 0x92 | branch_target
004b mov cx, word ptr [bp - 2] |  | instruction_shape
