Target | Candidate | Difference
0000 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 0000 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 
0004 shl bx, 1 | 0004 shl bx, 1 | 
0006 cmp <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51956}] | 0006 cmp <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51956}] | 
000b je 0x2d | 000b je 0x2d | 
000d lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 6316}] | 000d lcall <resolved fixup> [{'kind': 'internal', 'segment': 2, 'offset': 6316}] | 
0012 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 0012 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 
0016 shl bx, 2 | 0016 shl bx, 2 | 
0019 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51924}] | 0019 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51924}] | 
001d mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51926}] | 001d mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51926}] | 
0021 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 0021 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 5386}] | 
0025 shl bx, 1 | 0025 shl bx, 1 | 
0027 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51956}] | 0027 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 51956}] | 
002d retf  | 002d retf  | 
