Whole-member issues: conflicting private placement constraints CONST; SIMTWO_MODULE unresolved/mismatched fixup at 0x6e; SIMTWO_MODULE unresolved/mismatched fixup at 0x61; SIMTWO_MODULE unresolved/mismatched fixup at 0x5b; SIMTWO_MODULE unresolved/mismatched fixup at 0x3f; SIMTWO_MODULE unresolved/mismatched fixup at 0x3a; SIMTWO_MODULE unresolved/mismatched fixup at 0x36; SIMTWO_MODULE unresolved/mismatched fixup at 0x29; SIMTWO_MODULE unresolved/mismatched fixup at 0x23; SIMTWO_MODULE unresolved/mismatched fixup at 0x2; SIMTWO_MODULE uncovered NE relocations; SIMTWO_MODULE literal bytes differ; unplaced contribution CONST
  SIMTWO_MODULE+0x6e: candidate {'kind': 'internal', 'segment': 9, 'offset': 39974}; original loader []
  SIMTWO_MODULE+0x61: candidate {'kind': 'internal', 'segment': 10, 'offset': 44174}; original loader []
  SIMTWO_MODULE+0x5b: candidate {'kind': 'internal', 'segment': 10, 'offset': 44174}; original loader []
  SIMTWO_MODULE+0x3f: candidate {'kind': 'internal', 'segment': 9, 'offset': 39974}; original loader []
  SIMTWO_MODULE+0x3a: candidate {'kind': 'segment', 'name': 'CONST'}; original loader [{'site': 13754, 'source_type': 2, 'target': {'kind': 'internal', 'segment': 9, 'offset': 0}, 'additive': False}]
  SIMTWO_MODULE+0x36: candidate {'kind': 'internal', 'segment': 9, 'offset': 32890}; original loader []
  SIMTWO_MODULE+0x29: candidate {'kind': 'internal', 'segment': 10, 'offset': 44172}; original loader []
  SIMTWO_MODULE+0x23: candidate {'kind': 'internal', 'segment': 10, 'offset': 44172}; original loader []
  SIMTWO_MODULE+0x2: candidate {'kind': 'segment', 'name': 'CONST'}; original loader []
Target | Candidate | Difference
0000 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 0}] | 0000 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | instruction_shape
0003 mov ds, ax |  | instruction_shape
0005 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 32890}] | 0004 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 32890}] | memory_operand
0009 or bx, bx | 0009 or bx, bx | 
000b jle 0x21 | 000b jle 0x21 | 
000d cmp bx, 4 | 000d cmp bx, 4 | 
0010 jl 0x20 | 0010 jl 0x20 | 
 | 0012 mov ax, bx | instruction_shape
0012 sar bx, 2 | 0014 sar ax, 2 | register_allocation
 | 0017 sub ax, bx | instruction_shape
 | 0019 neg ax | instruction_shape
0015 mov ax, bx | 001b mov bx, ax | register_allocation
0017 mov bx, word ptr [0x807a] |  | instruction_shape
001b sub bx, ax |  | instruction_shape
001d jmp 0x21 | 001d jmp 0x21 | 
001f nop  | 001f nop  | 
0020 dec bx | 0020 dec bx | 
0021 cmp word ptr ss:[0xac8c], bx | 0021 cmp <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44172}] | memory_operand
0026 jle 0x2d | 0025 jle 0x2b | 
0028 mov bx, word ptr ss:[0xac8c] | 0027 mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44172}] | memory_operand
002d cmp bx, 0x32 | 002b cmp bx, 0x32 | 
0030 jle 0x35 | 002e jle 0x33 | 
0032 mov bx, 0x32 | 0030 mov bx, 0x32 | 
0035 mov word ptr [0x807a], bx | 0033 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 32890}] | memory_operand
0039 mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 0}] | 0038 mov <resolved fixup> [{'kind': 'segment', 'name': 'CONST'}] | instruction_shape
003c mov es, ax |  | instruction_shape
003e mov bx, word ptr es:[0x9c26] | 003c mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 39974}] | memory_operand
0043 or bx, bx | 0041 or bx, bx | 
0045 jle 0x5b | 0043 jle 0x59 | branch_target
0047 cmp bx, 4 | 0045 cmp bx, 4 | 
004a jl 0x5a | 0048 jl 0x58 | branch_target
 | 004a mov ax, bx | instruction_shape
004c sar bx, 2 | 004c sar ax, 2 | register_allocation
 | 004f sub ax, bx | instruction_shape
 | 0051 neg ax | instruction_shape
004f mov ax, bx | 0053 mov bx, ax | register_allocation
0051 mov bx, word ptr es:[0x9c26] |  | instruction_shape
0056 sub bx, ax |  | instruction_shape
0058 jmp 0x5b | 0055 jmp 0x59 | branch_target
 | 0057 nop  | instruction_shape
005a dec bx | 0058 dec bx | 
005b cmp word ptr ss:[0xac8e], bx | 0059 cmp <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44174}] | memory_operand
0060 jle 0x67 | 005d jle 0x63 | branch_target
0062 mov bx, word ptr ss:[0xac8e] | 005f mov <resolved fixup> [{'kind': 'internal', 'segment': 10, 'offset': 44174}] | memory_operand
0067 cmp bx, 0x32 | 0063 cmp bx, 0x32 | 
006a jle 0x6f | 0066 jle 0x6b | branch_target
006c mov bx, 0x32 | 0068 mov bx, 0x32 | 
006f mov word ptr es:[0x9c26], bx | 006b mov <resolved fixup> [{'kind': 'internal', 'segment': 9, 'offset': 39974}] | memory_operand
0074 push ss |  | instruction_shape
0075 pop ds |  | instruction_shape
0076 retf  | 0070 retf  | 
